Date,High,Low,Open,Close,Volume
12/1/2020,1.19372,1.20765,1.19353,1.20706,329953
12/2/2020,1.20707,1.21183,1.20399,1.21138,355708
12/3/2020,1.21137,1.21746,1.2101,1.21449,370344
12/4/2020,1.21449,1.21773,1.21101,1.21202,419215
12/6/2020,1.21308,1.21324,1.21195,1.212,7103
12/7/2020,1.21199,1.21662,1.20784,1.21092,402011
12/8/2020,1.21091,1.21339,1.20953,1.21094,342812
12/9/2020,1.21095,1.21475,1.20587,1.20784,239324
12/10/2020,1.20784,1.21588,1.20784,1.21433,236023
12/11/2020,1.21434,1.21629,1.21053,1.21086,192921
12/13/2020,1.21367,1.21435,1.21324,1.21331,5048
12/14/2020,1.21331,1.21767,1.21155,1.21486,160650
12/15/2020,1.21485,1.21689,1.2121,1.21543,143327
12/16/2020,1.21543,1.22121,1.2125,1.21961,173035
12/17/2020,1.21961,1.22726,1.21898,1.22614,169622
12/18/2020,1.22613,1.22687,1.22255,1.22559,159209
12/20/2020,1.2221,1.22348,1.22113,1.22118,5812
12/21/2020,1.22118,1.22529,1.21296,1.22346,232245
12/22/2020,1.22347,1.2257,1.2152,1.21872,203062
12/23/2020,1.21871,1.2221,1.21538,1.21939,186486
12/24/2020,1.2194,1.22156,1.21773,1.2182,150079
12/25/2020,1.21816,1.22031,1.21709,1.21922,3972
12/27/2020,1.2186,1.22072,1.21811,1.22038,6150
12/28/2020,1.22039,1.22502,1.21811,1.22196,137281
12/29/2020,1.22196,1.2275,1.22193,1.22519,152122
12/30/2020,1.2252,1.23101,1.22511,1.22984,157643
12/31/2020,1.22986,1.23092,1.22091,1.22141,162462
1/3/2021,1.22396,1.22527,1.22296,1.225,6993
1/4/2021,1.22499,1.23096,1.22385,1.22525,244590
1/5/2021,1.22525,1.23056,1.2247,1.22984,193568
1/6/2021,1.22985,1.23494,1.22655,1.23382,269841
1/7/2021,1.23384,1.23443,1.2245,1.22691,195081
1/8/2021,1.2269,1.22845,1.21929,1.22174,235959
1/10/2021,1.22175,1.22284,1.21821,1.2187,15994
1/11/2021,1.21869,1.21998,1.21321,1.21605,185522
1/12/2021,1.21605,1.22097,1.21371,1.22085,157612
1/13/2021,1.22087,1.22227,1.21399,1.21619,172756
1/14/2021,1.21618,1.21784,1.2111,1.21506,194304
1/15/2021,1.21505,1.21624,1.20747,1.20748,164726
